PYROEXPORT ROOT
RootFile, Data2208.root
HistTitle, hvt_2
XAxis, 
YAxis, 
NBins, 8192
DATA
lower bin edge, bin content, bin error 
937, 3, 1.73205
938, 4, 2
939, 1, 1
940, 3, 1.73205
941, 2, 1.41421
942, 4, 2
943, 2, 1.41421
944, 2, 1.41421
945, 6, 2.44949
946, 3, 1.73205
947, 4, 2
948, 3, 1.73205
949, 0, 0
950, 4, 2
951, 0, 0
952, 3, 1.73205
953, 3, 1.73205
954, 4, 2
955, 3, 1.73205
956, 2, 1.41421
957, 6, 2.44949
958, 5, 2.23607
959, 6, 2.44949
960, 3, 1.73205
961, 1, 1
962, 3, 1.73205
963, 11, 3.31662
964, 5, 2.23607
965, 3, 1.73205
966, 2, 1.41421
967, 10, 3.16228
968, 5, 2.23607
969, 6, 2.44949
970, 7, 2.64575
971, 5, 2.23607
972, 7, 2.64575
973, 4, 2
974, 3, 1.73205
975, 7, 2.64575
976, 2, 1.41421
977, 5, 2.23607
978, 0, 0
979, 4, 2
980, 3, 1.73205
981, 5, 2.23607
982, 6, 2.44949
983, 5, 2.23607
984, 6, 2.44949
985, 3, 1.73205
986, 6, 2.44949
987, 5, 2.23607
988, 3, 1.73205
989, 2, 1.41421
990, 0, 0
991, 2, 1.41421
992, 5, 2.23607
993, 8, 2.82843
994, 3, 1.73205
995, 3, 1.73205
996, 3, 1.73205
997, 5, 2.23607
998, 3, 1.73205
999, 5, 2.23607
1000, 5, 2.23607
1001, 2, 1.41421
1002, 2, 1.41421
1003, 6, 2.44949
1004, 3, 1.73205
1005, 3, 1.73205
1006, 2, 1.41421
1007, 3, 1.73205
1008, 3, 1.73205
1009, 5, 2.23607
1010, 6, 2.44949
1011, 5, 2.23607
1012, 6, 2.44949
1013, 3, 1.73205
1014, 7, 2.64575
1015, 1, 1
1016, 5, 2.23607
1017, 7, 2.64575
1018, 1, 1
1019, 10, 3.16228
1020, 1, 1
1021, 7, 2.64575
1022, 2, 1.41421
1023, 3, 1.73205
1024, 9, 3
1025, 8, 2.82843
1026, 3, 1.73205
1027, 2, 1.41421
1028, 4, 2
1029, 2, 1.41421
1030, 4, 2
1031, 3, 1.73205
1032, 2, 1.41421
1033, 4, 2
1034, 3, 1.73205
1035, 5, 2.23607
1036, 5, 2.23607
1037, 5, 2.23607
1038, 2, 1.41421
1039, 5, 2.23607
1040, 6, 2.44949
1041, 8, 2.82843
1042, 0, 0
1043, 6, 2.44949
1044, 4, 2
1045, 3, 1.73205
1046, 2, 1.41421
1047, 1, 1
1048, 3, 1.73205
1049, 7, 2.64575
1050, 1, 1
1051, 7, 2.64575
1052, 3, 1.73205
1053, 5, 2.23607
1054, 0, 0
1055, 5, 2.23607
1056, 2, 1.41421
1057, 2, 1.41421
1058, 6, 2.44949
1059, 2, 1.41421
1060, 6, 2.44949
1061, 7, 2.64575
1062, 2, 1.41421
1063, 1, 1
1064, 5, 2.23607
1065, 5, 2.23607
1066, 3, 1.73205
1067, 3, 1.73205
1068, 1, 1
1069, 2, 1.41421
1070, 6, 2.44949
1071, 6, 2.44949
1072, 3, 1.73205
1073, 6, 2.44949
1074, 8, 2.82843
1075, 3, 1.73205
1076, 4, 2
1077, 5, 2.23607
1078, 7, 2.64575
1079, 4, 2
1080, 4, 2
1081, 6, 2.44949
1082, 1, 1
1083, 4, 2
1084, 0, 0
1085, 4, 2
1086, 9, 3
1087, 7, 2.64575
1088, 4, 2
1089, 1, 1
1090, 2, 1.41421
1091, 5, 2.23607
1092, 2, 1.41421
1093, 4, 2
1094, 3, 1.73205
1095, 6, 2.44949
1096, 6, 2.44949
